sample_index,timestamp_ms,ir,red
317,1057,164979,85475
318,1076,164932,85443
319,1096,164923,85433
320,1115,164902,85420
321,1134,164894,85448
322,1153,164893,85462
323,1172,164899,85468
324,1191,164908,85478
325,1210,164939,85466
326,1229,165002,85448
327,1249,165017,85439
328,1268,165035,85459
329,1287,165045,85491
330,1306,165031,85518
331,1325,165006,85488
332,1344,164991,85475
333,1363,165029,85484
334,1383,165050,85461
335,1402,165043,85462
336,1421,164979,85425
337,1440,164929,85462
338,1459,164850,85442
339,1478,164842,85423
340,1497,164864,85407
341,1517,164898,85405
342,1536,164896,85403
343,1555,164932,85427
344,1574,164943,85460
345,1593,164961,85445
346,1612,164952,85449
347,1631,164966,85431
348,1650,164996,85432
349,1670,164994,85417
350,1689,165012,85443
351,1708,164998,85446
352,1727,165011,85470
353,1746,165030,85457
354,1765,165045,85440
355,1784,165062,85417
356,1804,165005,85387
357,1823,164937,85383
358,1842,164869,85397
359,1861,164831,85415
360,1880,164798,85409
361,1899,164822,85390
362,1918,164832,85382
363,1938,164856,85380
364,1957,164899,85389
365,1976,164893,85401
366,1995,164898,85421
367,2014,164907,85438
368,2033,164955,85435
369,2052,164989,85417
370,2071,165042,85417
371,2091,165028,85388
372,2110,165019,85422
373,2129,164993,85413
374,2148,164987,85451
375,2167,164925,85436
376,2186,164910,85384
377,2205,164888,85359
378,2225,164877,85347
379,2244,164840,85340
380,2263,164819,85344
381,2282,164868,85388
382,2301,164845,85387
383,2320,164855,85390
384,2339,164903,85376
385,2359,164938,85345
386,2378,164949,85354
387,2397,164965,85369
388,2416,164976,85400
389,2435,164956,85387
390,2454,164935,85401
391,2473,164958,85373
392,2492,165013,85375
393,2512,165032,85362
394,2531,165017,85361
395,2550,164948,85355
396,2569,164889,85367
397,2588,164832,85355
398,2607,164808,85347
399,2626,164811,85325
400,2646,164829,85315
401,2665,164836,85312
402,2684,164837,85327
403,2703,164850,85339
404,2722,164844,85347
405,2741,164879,85345
406,2760,164862,85318
407,2780,164916,85314
408,2799,164875,85306
409,2818,164861,85313
410,2837,164843,85332
411,2856,164835,85346
412,2875,164845,85363
413,2894,164895,85329
414,2913,164910,85323
415,2933,164853,85278
416,2952,164762,85283
417,2971,164681,85292
418,2990,164629,85319
419,3009,164599,85297
420,3028,164599,85296
421,3047,164626,85297
422,3067,164664,85264
423,3086,164674,85265
424,3105,164690,85302
425,3124,164718,85324
426,3143,164717,85332
427,3162,164752,85328
428,3181,164780,85313
429,3201,164845,85309
430,3220,164883,85291
431,3239,164929,85320
432,3258,164983,85358
433,3277,164961,85351
434,3296,164908,85348
435,3315,164879,85324
436,3334,164911,85304
437,3354,164908,85282
438,3373,164884,85284
439,3392,164828,85309
440,3411,164793,85317
441,3430,164773,85312
442,3449,164790,85321
443,3468,164838,85280
444,3488,164915,85283
445,3507,164940,85285
446,3526,164978,85300
447,3545,164938,85323
448,3564,164904,85328
449,3583,164893,85309
450,3602,164876,85293
451,3622,164896,85270
452,3641,164903,85293
453,3660,164870,85275
454,3679,164806,85305
455,3698,164706,85287
456,3717,164626,85274
457,3736,164576,85236
458,3755,164592,85233
459,3775,164577,85202
460,3794,164573,85229
461,3813,164566,85245
462,3832,164587,85270
463,3851,164591,85265
464,3870,164647,85263
465,3889,164691,85262
466,3909,164710,85221
467,3928,164736,85250
468,3947,164736,85240
469,3966,164723,85262
470,3985,164724,85266
471,4004,164738,85261
472,4023,164771,85252
473,4043,164799,85236
474,4062,164761,85215
475,4081,164683,85199
476,4100,164634,85228
477,4119,164563,85230
478,4138,164545,85230
479,4157,164537,85194
480,4176,164542,85186
481,4196,164532,85179
482,4215,164566,85177
483,4234,164565,85213
484,4253,164564,85235
485,4272,164556,85229
486,4291,164588,85230
487,4310,164637,85206
488,4330,164676,85218
489,4349,164695,85220
490,4368,164691,85214
491,4387,164715,85260
492,4406,164712,85248
493,4425,164699,85248
494,4444,164631,85210
495,4464,164600,85183
496,4483,164522,85177
497,4502,164487,85167
498,4521,164450,85213
499,4540,164458,85219
500,4559,164474,85204
501,4578,164478,85194
502,4597,164547,85183
503,4617,164574,85179
504,4636,164624,85204
505,4655,164630,85214
506,4674,164639,85250
507,4693,164616,85244
508,4712,164666,85241
509,4731,164689,85214
510,4751,164725,85192
511,4770,164728,85204
512,4789,164711,85213
513,4808,164690,85233
514,4827,164642,85224
515,4846,164593,85207
516,4865,164547,85182
517,4885,164566,85149
518,4904,164560,85145
519,4923,164535,85146
520,4942,164503,85176
521,4961,164509,85173
522,4980,164544,85186
523,4999,164601,85164
524,5018,164689,85152
525,5038,164689,85155
526,5057,164705,85161
527,5076,164668,85181
528,5095,164676,85297
529,5114,164687,85194
530,5133,164691,85184
531,5152,164721,85173
532,5172,164746,85142
533,5191,164711,85159
534,5210,164632,85164
535,5229,164566,85151
536,5248,164468,85151
537,5267,164453,85112
538,5286,164453,85097
539,5306,164491,85088
540,5325,164470,85091
541,5344,164468,85148
542,5363,164473,85145
543,5382,164471,85111
544,5401,164508,85131
545,5420,164539,85126
546,5440,164602,85118
547,5459,164616,85103
548,5478,164623,85128
549,5497,164605,85150
550,5516,164589,85143
551,5535,164591,85154
552,5554,164634,85131
553,5574,164689,85120
554,5593,164636,85118
555,5612,164547,85083
556,5631,164445,85111
557,5650,164382,85108
558,5669,164373,85090
559,5688,164375,85085
560,5707,164422,85067
561,5727,164407,85044
562,5746,164442,85070
563,5765,164439,85105
564,5784,164477,85121
565,5803,164518,85117
566,5822,164542,85113
567,5841,164606,85107
568,5861,164606,85076
569,5880,164586,85100
570,5899,164572,85115
571,5918,164589,85158
572,5937,164557,85139
573,5956,164593,85127
574,5975,164572,85097
575,5995,164519,85053
576,6014,164427,85055
577,6033,164361,85061
578,6052,164319,85080
579,6071,164314,85083
580,6090,164336,85082
581,6109,164382,85069
582,6129,164436,85065
583,6148,164434,85062
584,6167,164457,85065
585,6186,164450,85105
586,6205,164432,85090
587,6224,164486,85124
588,6243,164489,85087
589,6263,164546,85082
590,6282,164532,85091
591,6301,164535,85081
592,6320,164526,85122
593,6339,164528,85123
594,6358,164490,85119
595,6377,164458,85062
596,6396,164446,85035
597,6416,164413,85021
598,6435,164359,85024
599,6454,164307,85035
600,6473,164311,85065
601,6492,164338,85057
602,6511,164389,85067
603,6530,164445,85054
604,6550,164487,85012
605,6569,164498,85041
606,6588,164511,85049
607,6607,164495,85088
608,6626,164444,85070
609,6645,164480,85060
610,6664,164499,85041
611,6684,164561,85041
612,6703,164550,85041
613,6722,164539,85048
614,6741,164451,85066
615,6760,164366,85026
616,6779,164281,85021
617,6798,164257,84977
618,6817,164268,84962
619,6837,164256,84941
620,6856,164274,84975
621,6875,164254,84985
622,6894,164225,85004
623,6913,164238,85006
624,6932,164271,84992
625,6951,164318,84992
626,6971,164360,84974
627,6990,164385,84998
628,7009,164396,85000
629,7028,164387,85032
630,7047,164372,85024
631,7066,164371,85010
632,7085,164411,85008
633,7105,164487,84989
634,7124,164473,84985
635,7143,164411,84978
636,7162,164325,84977
637,7181,164230,84967
638,7200,164187,84954
639,7219,164187,84950
640,7239,164244,84931
641,7258,164250,84931
642,7277,164277,84939
643,7296,164254,84980
644,7315,164258,84982
645,7334,164303,84989
646,7353,164351,84966
647,7373,164385,84970
648,7392,164382,84957
649,7411,164390,84985
650,7430,164368,84994
651,7449,164373,85033
652,7468,164386,85003
653,7487,164397,84986
654,7506,164401,84979
655,7526,164344,84947
656,7545,164291,84939
657,7564,164217,84946
658,7583,164163,84960
659,7602,164118,84948
660,7621,164117,84931
661,7640,164151,84928
662,7660,164202,84910
663,7679,164248,84942
664,7698,164259,84940
665,7717,164248,84975
666,7736,164269,84962
667,7755,164297,84972
668,7774,164341,84962
669,7794,164362,84956
670,7813,164341,84943
671,7832,164339,84964
672,7851,164323,84990
673,7870,164302,84976
674,7889,164324,84984
675,7908,164272,84943
676,7928,164211,84907
677,7947,164129,84888
678,7966,164067,84895
679,7985,163994,84917
680,8004,163968,84921
681,8023,163996,84915
682,8042,163989,84891
683,8061,164033,84883
684,8081,164064,84875
685,8100,164055,84886
686,8119,164056,84911
687,8138,164060,84922
688,8157,164066,84928
689,8176,164081,84902
690,8195,164125,84898
691,8215,164126,84881
692,8234,164134,84910
693,8253,164139,84921
694,8272,164146,84953
695,8291,164096,84918
696,8310,164039,84890
697,8329,164009,84859
698,8349,163951,84825
699,8368,163914,84826
700,8387,163860,84847
701,8406,163863,84863
702,8425,163844,84855
703,8444,163893,84871
704,8463,163970,84855
705,8483,164008,84860
706,8502,164023,84867
707,8521,164033,84858
708,8540,164042,84900
709,8559,164052,84897
710,8578,164078,84897
711,8597,164099,84870
712,8617,164142,84863
713,8636,164147,84846
714,8655,164163,84877
715,8674,164155,84898
716,8693,164063,84863
717,8712,163995,84845
718,8731,163915,84823
719,8751,163962,84811
720,8770,163917,84803
721,8789,163923,84807
722,8808,163903,84837
723,8827,163914,84838
724,8846,163917,84828
725,8865,163973,84832
726,8884,164046,84823
727,8904,164059,84814
728,8923,164069,84831
729,8942,164077,84848
730,8961,164071,84886
731,8980,164073,84868
732,8999,164110,84854
733,9018,164153,84838
734,9038,164187,84840
735,9057,164173,84838
736,9076,164124,84851
737,9095,164052,84859
738,9114,163925,84837
739,9133,163902,84807
740,9152,163869,84788
741,9172,163871,84774
742,9191,163873,84782
743,9210,163859,84807
744,9229,163891,84837
745,9248,163912,84830
746,9267,163991,84845
747,9286,164078,84856
748,9306,164191,84844
749,9325,164211,84850
750,9344,164239,84848
751,9363,164228,84896
752,9382,164213,84899
753,9401,164213,84879
754,9420,164254,84855
755,9440,164287,84857
756,9459,164284,84857
757,9478,164257,84834
758,9497,164180,84853
759,9516,164071,84844
760,9535,163995,84843
761,9554,163998,84803
762,9573,164073,84815
763,9593,164073,84785
764,9612,164087,84783
765,9631,164041,84798
766,9650,164025,84836
767,9669,164034,84825
768,9688,164079,84790
769,9707,164111,84773
770,9727,164118,84764
771,9746,164110,84770
772,9765,164079,84782
773,9784,164086,84834
774,9803,164053,84823
775,9822,164104,84807
776,9841,164143,84789
777,9861,164101,84749
778,9880,163990,84738
779,9899,163895,84737
780,9918,163782,84747
781,9937,163684,84724
782,9956,163645,84722
783,9975,163621,84669
784,9995,163656,84682
785,10014,163645,84675
786,10033,163667,84684
787,10052,163673,84738
788,10071,163655,84735
789,10090,163707,84719
790,10109,163714,84702
791,10129,163732,84685
792,10148,163743,84664
793,10167,163715,84690
794,10186,163675,84701
795,10205,163671,84727
796,10224,163699,84732
797,10243,163721,84703
798,10263,163741,84697
799,10282,163687,84666
800,10301,163579,84656
801,10320,163477,84668
802,10339,163434,84680
803,10358,163426,84678
804,10377,163431,84662
805,10396,163556,84671
806,10416,163637,84666
807,10435,163706,84688
808,10454,163701,84713
809,10473,163717,84746
810,10492,163747,84747
811,10511,163802,84732
812,10530,163876,84717
813,10550,163886,84719
814,10569,163850,84733
815,10588,163819,84736
816,10607,163804,84775
817,10626,163790,84751
818,10645,163778,84733
819,10664,163769,84707
820,10684,163738,84676
821,10703,163659,84669
822,10722,163552,84668
823,10741,163457,84679
824,10760,163385,84660
825,10779,163425,84652
826,10798,163434,84646
827,10818,163513,84631
828,10837,163535,84639
829,10856,163524,84652
830,10875,163536,84694
831,10894,163514,84684
832,10913,163530,84692
833,10932,163544,84656
834,10952,163583,84657
835,10971,163567,84656
836,10990,163572,84657
837,11009,163536,84690
838,11028,163487,84688
839,11047,163469,84686
840,11066,163413,84654
841,11086,163411,84618
842,11105,163318,84591
843,11124,163271,84592
844,11143,163218,84628
845,11162,163210,84638
846,11181,163218,84638
847,11200,163279,84636
848,11219,163337,84611
849,11239,163352,84604
850,11258,163406,84626
851,11277,163396,84642
852,11296,163428,84670
853,11315,163424,84670
854,11334,163449,84655
855,11353,163478,84642
856,11373,163487,84626
857,11392,163510,84642
858,11411,163502,84653
859,11430,163500,84682
860,11449,163448,84666
861,11468,163427,84648
862,11487,163341,84592
863,11507,163307,84584
864,11526,163266,84587
865,11545,163239,84576
866,11564,163229,84615
867,11583,163194,84623
868,11602,163198,84600
869,11621,163236,84592
870,11641,163305,84593
871,11660,163347,84585
872,11679,163363,84603
873,11698,163379,84634
874,11717,163392,84652
875,11736,163429,84654
876,11755,163456,84622
877,11775,163531,84633
878,11794,163526,84616
879,11813,163524,84619
880,11832,163542,84669
881,11851,163520,84680
882,11870,163487,84642
883,11889,163418,84608
884,11908,163365,84592
885,11928,163309,84570
886,11947,163269,84571
887,11966,163219,84572
888,11985,163203,84608
889,12004,163220,84607
890,12023,163253,84598
891,12042,163308,84584
892,12062,163321,84572
893,12081,163343,84583
894,12100,163340,84618
895,12119,163361,84642
896,12138,163343,84650
897,12157,163382,84633
898,12176,163402,84590
899,12196,163409,84611
900,12215,163418,84603
901,12234,163391,84604
902,12253,163355,84639
903,12272,163258,84631
904,12291,163216,84591
905,12310,163150,84568
906,12330,163115,84531
907,12349,163061,84523
908,12368,163030,84520
909,12387,162962,84562
910,12406,162934,84566
911,12425,162960,84569
912,12444,163002,84543
913,12464,163044,84529
914,12483,163056,84533
915,12502,163043,84541
916,12521,163033,84577
917,12540,163024,84594
918,12559,162969,84555
919,12578,162966,84534
920,12597,163004,84534
921,12617,163000,84512
922,12636,163004,84514
923,12655,162969,84525
924,12674,162883,84536
925,12693,162761,84514
926,12712,162678,84458
927,12731,162636,84441
928,12751,162591,84405
929,12770,162547,84423
930,12789,162554,84440
931,12808,162517,84447
932,12827,162497,84467
933,12846,162516,84418
934,12865,162544,84424
935,12885,162597,84411
936,12904,162626,84437
937,12923,162596,84429
938,12942,162600,84482
939,12961,162587,84464
940,12980,162585,84463
941,12999,162618,84442
942,13019,162664,84439
943,13038,162683,84435
944,13057,162667,84450
945,13076,162588,84463
946,13095,162513,84436
947,13114,162444,84413
948,13133,162384,84403
949,13153,162379,84375
950,13172,162345,84363
951,13191,162323,84366
952,13210,162316,84409
953,13229,162316,84418
954,13248,162375,84432
